model_type,noise,angle,sig_frac,n_epochs,train_time,epochs,eval_acc,train_acc,test_acc,eval_loss,train_loss,test_loss,weighted_n_events,n_raw_bkgd,n_raw_sig,n_pass_bkgd,n_pass_sig,raw_signif,pass_signif
regress,	0.2,1.4,0.001,1000,76.1988,469,0.8046,0.8045,0.8046,0.2722,0.3073,0.2706,100000,13527,99,80,56,0.848,4.802
regress,	0.2,1.4,0.001,1000,65.6533,412,0.8022,0.8021,0.8022,0.2746,0.3105,0.2770,100000,13527,99,44,50,0.848,5.157
regress,	0.2,1.4,0.001,1000,75.3607,471,0.8028,0.8027,0.8028,0.2735,0.3074,0.2733,100000,13527,99,132,58,0.848,4.208
regress,	0.2,1.4,0.001,1000,86.7270,540,0.8033,0.8033,0.8034,0.2737,0.3116,0.2672,100000,13527,99,35,48,0.848,5.269
regress,	0.2,1.4,0.001,1000,102.3164,645,0.8070,0.8070,0.8070,0.2692,0.2997,0.2747,100000,13527,99,5,26,0.848,4.670
binary_softmax,	0.2,1.4,0.001,1000,74.6799,440,0.8045,0.8045,0.8046,0.2730,0.3081,0.2746,100000,13527,99,1965,85,0.848,1.877
binary_softmax,	0.2,1.4,0.001,1000,84.4765,502,0.7949,0.7948,0.7949,0.2707,0.3076,0.2759,100000,13527,99,2006,85,0.848,1.859
binary_softmax,	0.2,1.4,0.001,1000,73.5094,449,0.7995,0.7994,0.7995,0.2792,0.3160,0.2735,100000,13527,99,2090,86,0.848,1.844
binary_softmax,	0.2,1.4,0.001,1000,62.9527,379,0.8026,0.8026,0.8027,0.2725,0.3063,0.2748,100000,13527,99,1955,85,0.848,1.882
binary_softmax,	0.2,1.4,0.001,1000,63.6168,387,0.7906,0.7905,0.7906,0.2710,0.3077,0.2798,100000,13527,99,1906,85,0.848,1.905
relegator,	0.2,1.4,0.001,1000,106.8440,471,0.3609,0.3610,0.3608,2.6103,4.5142,3.1778,100000,13527,99,5,30,0.848,5.071
relegator,	0.2,1.4,0.001,1000,106.4544,472,0.4240,0.4241,0.4239,2.6127,5.3089,3.2403,100000,13527,99,22,45,0.848,5.498
relegator,	0.2,1.4,0.001,1000,90.0431,403,0.7203,0.7203,0.7203,3.1043,5.3805,3.3410,100000,13527,99,11,39,0.848,5.515
relegator,	0.2,1.4,0.001,1000,60.3734,269,0.6608,0.6606,0.6608,9.3967,9.7114,9.8519,100000,13527,99,3804,81,0.848,1.300
relegator,	0.2,1.4,0.001,1000,91.1664,403,0.6030,0.6028,0.6030,2.9473,5.0037,3.1611,100000,13527,99,23,42,0.848,5.209
regress,	0.2,1.4,0.0018,1000,71.1359,449,0.8020,0.8020,0.8021,0.2740,0.3090,0.2851,100000,13313,179,128,106,1.541,6.929
regress,	0.2,1.4,0.0018,1000,75.8704,475,0.8001,0.8000,0.8001,0.2772,0.3110,0.2755,100000,13313,179,103,104,1.541,7.228
regress,	0.2,1.4,0.0018,1000,80.5728,501,0.8018,0.8018,0.8018,0.2734,0.3084,0.2898,100000,13313,179,138,110,1.541,6.985
regress,	0.2,1.4,0.0018,1000,83.2901,520,0.8017,0.8016,0.8017,0.2749,0.3096,0.2790,100000,13313,179,90,103,1.541,7.414
regress,	0.2,1.4,0.0018,1000,88.0102,553,0.8103,0.8102,0.8103,0.2739,0.3097,0.2746,100000,13313,179,39,89,1.541,7.867
binary_softmax,	0.2,1.4,0.0018,1000,72.4106,435,0.7916,0.7915,0.7916,0.2786,0.3126,0.2705,100000,13313,179,1764,150,1.541,3.429
binary_softmax,	0.2,1.4,0.0018,1000,75.3743,448,0.8072,0.8072,0.8072,0.2788,0.3156,0.2712,100000,13313,179,1693,148,1.541,3.449
binary_softmax,	0.2,1.4,0.0018,1000,65.7660,395,0.8097,0.8096,0.8097,0.2737,0.3060,0.2818,100000,13313,179,1659,149,1.541,3.504
binary_softmax,	0.2,1.4,0.0018,1000,72.1845,436,0.7952,0.7952,0.7953,0.2743,0.3070,0.2769,100000,13313,179,1688,149,1.541,3.476
binary_softmax,	0.2,1.4,0.0018,1000,79.8783,475,0.7928,0.7927,0.7928,0.2758,0.3098,0.2735,100000,13313,179,1694,151,1.541,3.515
relegator,	0.2,1.4,0.0018,1000,62.1024,269,0.6556,0.6555,0.6556,5.3897,5.6210,5.5279,100000,13313,179,2906,150,1.541,2.713
relegator,	0.2,1.4,0.0018,1000,105.8073,461,0.6917,0.6917,0.6918,1.7780,3.0167,1.8709,100000,13313,179,26,89,1.541,8.299
relegator,	0.2,1.4,0.0018,1000,89.0607,389,0.7386,0.7386,0.7386,1.9132,3.0691,1.8666,100000,13313,179,28,89,1.541,8.228
