model_type,noise,angle,sig_frac,n_epochs,train_time,epochs,eval_acc,train_acc,test_acc,eval_loss,train_loss,test_loss,weighted_n_events,n_raw_bkgd,n_raw_sig,n_pass_bkgd,n_pass_sig,raw_signif,pass_signif,n_layers,n_nodes_per_layer
regress,	0.3,1.4,0.018,1000,162.9723,848,0.7621,0.7621,0.7622,0.4137,0.4349,0.4134,100000,13073,1785,272,825,14.644,24.909,1,512
regress,	0.3,1.4,0.018,1000,137.8013,728,0.7538,0.7537,0.7538,0.4131,0.4298,0.4247,100000,13073,1785,942,1103,14.644,24.391,1,512
regress,	0.3,1.4,0.018,1000,138.3100,687,0.7523,0.7523,0.7523,0.4142,0.4324,0.4275,100000,13073,1785,532,964,14.644,24.924,1,512
regress,	0.3,1.4,0.018,1000,154.6512,736,0.7563,0.7563,0.7563,0.4121,0.4310,0.4256,100000,13073,1785,1142,1153,14.644,24.068,1,512
regress,	0.3,1.4,0.018,1000,145.7325,720,0.7560,0.7560,0.7560,0.4171,0.4385,0.4156,100000,13073,1785,211,776,14.644,24.700,1,512
binary_softmax,	0.3,1.4,0.018,1000,127.1903,575,0.7553,0.7553,0.7553,0.4158,0.4373,0.4121,100000,13073,1785,2255,1353,14.644,22.525,1,512
binary_softmax,	0.3,1.4,0.018,1000,121.4568,556,0.7572,0.7572,0.7572,0.4139,0.4316,0.4181,100000,13073,1785,2496,1384,14.644,22.219,1,512
binary_softmax,	0.3,1.4,0.018,1000,127.4736,589,0.7556,0.7556,0.7556,0.4177,0.4368,0.4082,100000,13073,1785,2370,1372,14.644,22.429,1,512
binary_softmax,	0.3,1.4,0.018,1000,128.6420,597,0.7548,0.7548,0.7548,0.4149,0.4346,0.4121,100000,13073,1785,2192,1340,14.644,22.547,1,512
binary_softmax,	0.3,1.4,0.018,1000,117.6129,538,0.7528,0.7527,0.7528,0.4153,0.4374,0.4159,100000,13073,1785,2385,1376,14.644,22.437,1,512
relegator,	0.3,1.4,0.018,1000,66.9067,225,0.6671,0.6670,0.6672,1.0937,1.1235,1.1249,100000,13073,1785,3798,1473,14.644,20.289,1,512
relegator,	0.3,1.4,0.018,1000,63.0005,211,0.6711,0.6709,0.6712,1.1121,1.1484,1.1404,100000,13073,1785,3839,1465,14.644,20.116,1,512
relegator,	0.3,1.4,0.018,1000,100.3559,270,0.6698,0.6697,0.6699,1.0827,1.1130,1.0687,100000,13073,1785,3628,1460,14.644,20.468,1,512
relegator,	0.3,1.4,0.018,1000,85.3544,254,0.6827,0.6826,0.6827,1.0836,1.1199,1.1089,100000,13073,1785,3746,1471,14.644,20.366,1,512
relegator,	0.3,1.4,0.018,1000,90.9780,258,0.6904,0.6903,0.6905,1.0679,1.1040,1.1141,100000,13073,1785,3755,1474,14.644,20.384,1,512
regress,	0.3,1.4,0.018,1000,69.1417,228,0.7496,0.7495,0.7497,0.4106,0.4315,0.4081,100000,13164,1781,612,995,14.569,24.821,2,256
regress,	0.3,1.4,0.018,1000,57.9702,227,0.7479,0.7479,0.7480,0.4117,0.4301,0.4068,100000,13164,1781,373,888,14.569,25.007,2,256
regress,	0.3,1.4,0.018,1000,94.2449,253,0.7516,0.7515,0.7516,0.4101,0.4298,0.4089,100000,13164,1781,457,927,14.569,24.918,2,256
regress,	0.3,1.4,0.018,1000,67.0891,259,0.7507,0.7506,0.7507,0.4080,0.4277,0.4161,100000,13164,1781,699,1027,14.569,24.720,2,256
regress,	0.3,1.4,0.018,1000,88.5585,234,0.7503,0.7502,0.7503,0.4104,0.4321,0.4128,100000,13164,1781,364,872,14.569,24.803,2,256
binary_softmax,	0.3,1.4,0.018,1000,78.9117,187,0.7473,0.7472,0.7473,0.4089,0.4281,0.4147,100000,13164,1781,2780,1417,14.569,21.873,2,256
binary_softmax,	0.3,1.4,0.018,1000,49.7956,189,0.7470,0.7469,0.7470,0.4106,0.4295,0.4107,100000,13164,1781,2640,1402,14.569,22.052,2,256
binary_softmax,	0.3,1.4,0.018,1000,86.4929,217,0.7458,0.7457,0.7459,0.4107,0.4311,0.4112,100000,13164,1781,2659,1412,14.569,22.130,2,256
binary_softmax,	0.3,1.4,0.018,1000,53.8420,201,0.7447,0.7446,0.7447,0.4086,0.4261,0.4128,100000,13164,1781,2694,1413,14.569,22.049,2,256
binary_softmax,	0.3,1.4,0.018,1000,84.2882,212,0.7479,0.7478,0.7479,0.4103,0.4324,0.4079,100000,13164,1781,2728,1420,14.569,22.048,2,256
relegator,	0.3,1.4,0.018,1000,102.9164,314,0.6959,0.6962,0.6959,0.7620,0.8471,0.7905,100000,13164,1781,156,658,14.569,23.063,2,256
relegator,	0.3,1.4,0.018,1000,132.3075,316,0.6932,0.6935,0.6931,0.7555,0.8549,0.7850,100000,13164,1781,200,721,14.569,23.758,2,256
relegator,	0.3,1.4,0.018,1000,85.1504,173,0.7005,0.7003,0.7006,0.9174,0.9921,0.9380,100000,13164,1781,1436,1214,14.569,23.583,2,256
relegator,	0.3,1.4,0.018,1000,118.1496,275,0.7038,0.7040,0.7037,0.7587,0.8397,0.8312,100000,13164,1781,236,771,14.569,24.296,2,256
relegator,	0.3,1.4,0.018,1000,126.6990,303,0.6878,0.6880,0.6877,0.7578,0.8576,0.7599,100000,13164,1781,258,791,14.569,24.422,2,256
regress,	0.3,1.4,0.018,1000,113.7194,534,0.7532,0.7531,0.7532,0.4199,0.4399,0.4262,100000,13225,1775,376,848,14.493,24.238,2,64
regress,	0.3,1.4,0.018,1000,70.3783,424,0.7363,0.7362,0.7363,0.4230,0.4429,0.4212,100000,13225,1775,174,675,14.493,23.166,2,64
regress,	0.3,1.4,0.018,1000,73.3424,403,0.7369,0.7369,0.7370,0.4224,0.4407,0.4227,100000,13225,1775,518,920,14.493,24.261,2,64
regress,	0.3,1.4,0.018,1000,83.3671,514,0.7451,0.7450,0.7451,0.4211,0.4385,0.4224,100000,13225,1775,151,642,14.493,22.798,2,64
regress,	0.3,1.4,0.018,1000,82.5412,513,0.7407,0.7407,0.7407,0.4187,0.4381,0.4316,100000,13225,1775,134,626,14.493,22.707,2,64
binary_softmax,	0.3,1.4,0.018,1000,83.5827,445,0.7446,0.7446,0.7446,0.4209,0.4420,0.4215,100000,13225,1775,2905,1406,14.493,21.414,2,64
binary_softmax,	0.3,1.4,0.018,1000,75.1553,449,0.7458,0.7458,0.7458,0.4194,0.4373,0.4272,100000,13225,1775,2839,1393,14.493,21.413,2,64
binary_softmax,	0.3,1.4,0.018,1000,85.8803,410,0.7296,0.7296,0.7296,0.4205,0.4427,0.4224,100000,13225,1775,2877,1400,14.493,21.407,2,64
binary_softmax,	0.3,1.4,0.018,1000,73.5544,433,0.7437,0.7436,0.7437,0.4202,0.4419,0.4249,100000,13225,1775,2992,1411,14.493,21.264,2,64
binary_softmax,	0.3,1.4,0.018,1000,89.6187,497,0.7397,0.7397,0.7397,0.4211,0.4398,0.4165,100000,13225,1775,2850,1402,14.493,21.501,2,64
relegator,	0.3,1.4,0.018,1000,83.5130,280,0.6746,0.6744,0.6746,1.0154,1.0576,1.0549,100000,13225,1775,3066,1359,14.493,20.430,2,64
relegator,	0.3,1.4,0.018,1000,102.2997,323,0.6948,0.6947,0.6948,0.9849,1.0538,1.0124,100000,13225,1775,2517,1308,14.493,21.149,2,64
relegator,	0.3,1.4,0.018,1000,92.0200,403,0.7216,0.7215,0.7216,0.9586,1.0006,0.9687,100000,13225,1775,1639,1177,14.493,22.180,2,64
relegator,	0.3,1.4,0.018,1000,73.0912,237,0.6733,0.6731,0.6734,1.0914,1.1230,1.1323,100000,13225,1775,3744,1406,14.493,19.592,2,64
relegator,	0.3,1.4,0.018,1000,58.7916,255,0.6781,0.6779,0.6781,1.0599,1.0977,1.0860,100000,13225,1775,3618,1405,14.493,19.824,2,64
regress,	0.3,1.4,0.018,1000,52.2092,291,0.7471,0.7471,0.7472,0.4178,0.4396,0.4152,100000,13276,1780,295,813,14.507,24.424,3,64
regress,	0.3,1.4,0.018,1000,51.0463,277,0.7467,0.7467,0.7468,0.4160,0.4348,0.4166,100000,13276,1780,348,836,14.507,24.296,3,64
regress,	0.3,1.4,0.018,1000,59.5008,291,0.7285,0.7284,0.7285,0.4148,0.4340,0.4205,100000,13276,1780,513,933,14.507,24.536,3,64
regress,	0.3,1.4,0.018,1000,52.4842,293,0.7336,0.7335,0.7336,0.4169,0.4339,0.4161,100000,13276,1780,485,921,14.507,24.562,3,64
regress,	0.3,1.4,0.018,1000,54.7546,259,0.7354,0.7353,0.7354,0.4127,0.4324,0.4305,100000,13276,1780,383,863,14.507,24.448,3,64
binary_softmax,	0.3,1.4,0.018,1000,42.9239,231,0.7279,0.7278,0.7280,0.4193,0.4404,0.4112,100000,13276,1780,2578,1373,14.507,21.843,3,64
binary_softmax,	0.3,1.4,0.018,1000,49.7669,263,0.7422,0.7421,0.7422,0.4151,0.4352,0.4198,100000,13276,1780,2841,1412,14.507,21.651,3,64
binary_softmax,	0.3,1.4,0.018,1000,47.0064,252,0.7330,0.7329,0.7331,0.4155,0.4354,0.4224,100000,13276,1780,2836,1413,14.507,21.677,3,64
binary_softmax,	0.3,1.4,0.018,1000,50.2631,269,0.7426,0.7425,0.7426,0.4163,0.4351,0.4145,100000,13276,1780,2584,1384,14.507,21.971,3,64
binary_softmax,	0.3,1.4,0.018,1000,46.7409,250,0.7301,0.7300,0.7301,0.4139,0.4319,0.4237,100000,13276,1780,2634,1389,14.507,21.899,3,64
relegator,	0.3,1.4,0.018,1000,110.4921,341,0.6599,0.6601,0.6599,0.7578,0.8544,0.7695,100000,13276,1780,234,767,14.507,24.243,3,64
relegator,	0.3,1.4,0.018,1000,108.8362,362,0.6721,0.6723,0.6720,0.7646,0.8384,0.7669,100000,13276,1780,210,748,14.507,24.167,3,64
relegator,	0.3,1.4,0.018,1000,87.1303,346,0.6705,0.6707,0.6705,0.7628,0.8493,0.7617,100000,13276,1780,243,772,14.507,24.232,3,64
relegator,	0.3,1.4,0.018,1000,95.4222,363,0.6906,0.6908,0.6905,0.7529,0.8411,0.7574,100000,13276,1780,210,746,14.507,24.127,3,64
relegator,	0.3,1.4,0.018,1000,93.2610,368,0.6870,0.6872,0.6870,0.7559,0.8577,0.8019,100000,13276,1780,206,740,14.507,24.059,3,64
regress,	0.3,1.4,0.018,1000,102.7962,467,0.7460,0.7459,0.7460,0.4131,0.4376,0.4100,100000,13205,1776,285,855,14.510,25.323,3,32
regress,	0.3,1.4,0.018,1000,66.5879,408,0.7370,0.7369,0.7370,0.4097,0.4301,0.4223,100000,13205,1776,395,915,14.510,25.280,3,32
regress,	0.3,1.4,0.018,1000,80.3379,493,0.7466,0.7466,0.7467,0.4142,0.4366,0.4045,100000,13205,1776,849,1093,14.510,24.803,3,32
regress,	0.3,1.4,0.018,1000,83.8109,461,0.7326,0.7325,0.7326,0.4088,0.4303,0.4196,100000,13205,1776,501,954,14.510,25.010,3,32
regress,	0.3,1.4,0.018,1000,89.1166,497,0.7478,0.7477,0.7478,0.4101,0.4325,0.4156,100000,13205,1776,253,830,14.510,25.221,3,32
binary_softmax,	0.3,1.4,0.018,1000,74.5796,385,0.7436,0.7435,0.7436,0.4091,0.4278,0.4239,100000,13205,1776,2877,1462,14.510,22.195,3,32
binary_softmax,	0.3,1.4,0.018,1000,78.3032,462,0.7510,0.7510,0.7510,0.4121,0.4289,0.4078,100000,13205,1776,2711,1435,14.510,22.286,3,32
binary_softmax,	0.3,1.4,0.018,1000,79.2970,435,0.7449,0.7448,0.7449,0.4140,0.4334,0.4083,100000,13205,1776,2462,1396,14.510,22.475,3,32
binary_softmax,	0.3,1.4,0.018,1000,72.1066,384,0.7350,0.7349,0.7350,0.4145,0.4358,0.4074,100000,13205,1776,2717,1426,14.510,22.155,3,32
binary_softmax,	0.3,1.4,0.018,1000,74.2965,393,0.7470,0.7469,0.7470,0.4102,0.4302,0.4206,100000,13205,1776,2460,1393,14.510,22.441,3,32
relegator,	0.3,1.4,0.018,1000,120.7330,494,0.6906,0.6907,0.6905,0.7718,0.8484,0.7859,100000,13205,1776,220,794,14.510,24.935,3,32
relegator,	0.3,1.4,0.018,1000,81.7102,327,0.6504,0.6503,0.6505,0.8900,0.9469,0.9552,100000,13205,1776,1382,1210,14.510,23.767,3,32
relegator,	0.3,1.4,0.018,1000,107.9066,447,0.7184,0.7184,0.7185,0.8381,0.8998,0.8787,100000,13205,1776,543,981,14.510,25.129,3,32
relegator,	0.3,1.4,0.018,1000,109.7725,454,0.6840,0.6840,0.6840,0.8319,0.8782,0.8136,100000,13205,1776,426,917,14.510,25.023,3,32
relegator,	0.3,1.4,0.018,1000,93.4648,380,0.7164,0.7163,0.7164,0.9141,0.9728,0.9231,100000,13205,1776,1457,1219,14.510,23.565,3,32
regress,	0.3,1.4,0.018,1000,105.4608,683,0.7350,0.7350,0.7351,0.4125,0.4373,0.4103,100000,13325,1770,191,709,14.406,23.633,3,16
regress,	0.3,1.4,0.018,1000,102.2711,659,0.7272,0.7272,0.7273,0.4139,0.4355,0.4126,100000,13325,1770,1562,1201,14.406,22.848,3,16
regress,	0.3,1.4,0.018,1000,115.9433,689,0.7503,0.7502,0.7503,0.4118,0.4315,0.4120,100000,13325,1770,424,862,14.406,24.037,3,16
regress,	0.3,1.4,0.018,1000,103.1653,612,0.7375,0.7374,0.7375,0.4156,0.4357,0.4115,100000,13325,1770,923,1034,14.406,23.374,3,16
regress,	0.3,1.4,0.018,1000,110.7850,652,0.7337,0.7337,0.7337,0.4123,0.4336,0.4153,100000,13325,1770,332,810,14.406,23.969,3,16
binary_softmax,	0.3,1.4,0.018,1000,109.6599,630,0.7518,0.7518,0.7518,0.4115,0.4338,0.4158,100000,13325,1770,2971,1405,14.406,21.239,3,16
binary_softmax,	0.3,1.4,0.018,1000,125.4690,772,0.7488,0.7487,0.7488,0.4133,0.4332,0.4044,100000,13325,1770,2996,1427,14.406,21.457,3,16
binary_softmax,	0.3,1.4,0.018,1000,115.8600,658,0.7551,0.7551,0.7551,0.4088,0.4300,0.4169,100000,13325,1770,2800,1401,14.406,21.615,3,16
binary_softmax,	0.3,1.4,0.018,1000,110.9177,636,0.7234,0.7234,0.7234,0.4109,0.4316,0.4146,100000,13325,1770,2799,1383,14.406,21.386,3,16
binary_softmax,	0.3,1.4,0.018,1000,103.5202,636,0.7514,0.7513,0.7514,0.4123,0.4326,0.4111,100000,13325,1770,2940,1413,14.406,21.416,3,16
relegator,	0.3,1.4,0.018,1000,86.0735,358,0.6595,0.6594,0.6596,1.0634,1.0891,1.0759,100000,13325,1770,3478,1346,14.406,19.379,3,16
relegator,	0.3,1.4,0.018,1000,101.6196,452,0.5726,0.5724,0.5726,0.9996,1.0482,1.0694,100000,13325,1770,2719,1367,14.406,21.385,3,16
relegator,	0.3,1.4,0.018,1000,129.5109,546,0.5751,0.5750,0.5752,0.9839,1.0139,0.9865,100000,13325,1770,2527,1307,14.406,21.108,3,16
